id,tyden_od,tyden_do,tyden,nove_pripady_celkem,primoinfekce,prvni_reinfekce,druhe_reinfekce,treti_a_dalsi_reinfekce
623034eb-ca3f-4f28-9a3b-99688bf427c1,2023-10-02,2023-10-08,2023-40,3019,1706,1112,201,0
96f239db-ed52-4043-afaa-c2a0103fb6b8,2024-02-12,2024-02-18,2024-07,428,242,145,41,0
8d09f9aa-9082-4a82-8d0a-cbc943529f15,2021-12-13,2021-12-19,2021-50,70420,68521,1892,7,0
0b6839e4-1600-4e0d-8951-b8d0070b22c4,2021-08-09,2021-08-15,2021-32,1325,1294,31,0,0
215d2fc9-093a-49e2-88f4-e0b8c47fd495,2024-04-15,2024-04-21,2024-16,59,27,27,5,0
4ff45e08-ba21-4e21-b60f-60f8738c8bf2,2022-01-10,2022-01-16,2022-02,81274,72720,8503,51,0
a66760b6-b521-49df-a4ee-b24cf7449428,2024-02-19,2024-02-25,2024-08,251,156,84,11,0
800798b4-510e-4eb5-af30-41787c80f2a4,2020-10-26,2020-11-01,2020-44,84007,83977,30,0,0
502d4365-be19-4324-9ec9-85286803c45e,2020-03-02,2020-03-08,2020-10,31,30,0,0,0
1a00a7a9-2efe-46e9-a037-a04fe8e9c2f5,2022-03-21,2022-03-27,2022-12,59331,49916,9305,110,0
ce7a1ad4-ca49-49e9-afae-f6967f51e8ff,2023-06-12,2023-06-18,2023-24,128,83,37,7,0
40ad7154-ac7e-4417-bf9b-3f51c0b551d6,2022-03-28,2022-04-03,2022-13,49851,41915,7828,108,0
d946643b-4b4d-4291-93a8-b1c93cbe7049,2020-07-20,2020-07-26,2020-30,1376,1376,0,0,0
83cf7caf-05bd-4166-a2bf-7817b954c25c,2023-12-25,2023-12-31,2023-52,4359,2611,1511,237,0
be12a401-4449-4d15-9a66-40f0019cb5a5,2023-01-23,2023-01-29,2023-04,1970,1154,726,90,0
2e9e55bd-75e0-455f-bd2e-06eeca54571c,2024-01-15,2024-01-21,2024-03,1608,952,563,93,0
bd620957-b2c5-4036-8242-6562bcc066c0,2021-12-27,2022-01-02,2021-52,37292,35939,1345,8,0
e5f864b7-a981-41cd-821b-03a298657b78,2023-12-04,2023-12-10,2023-49,13260,7200,5157,903,0
e44b182d-1e28-46d9-80ca-b4a421cc19d1,2022-10-24,2022-10-30,2022-43,8072,5684,2267,121,0
7494afe5-e940-4d9c-9a84-010401b26bc2,2024-04-22,2024-04-28,2024-17,54,36,14,3,0
bd8ddd49-3a81-4907-ae6d-919ea13fd799,2020-09-14,2020-09-20,2020-38,13111,13109,2,0,0
4259b22a-f9c4-43fe-b56e-b960b7ee375d,2020-03-30,2020-04-05,2020-14,1780,1780,0,0,0
802c9d51-e0d1-4937-a196-c7975e0f6eed,2023-07-10,2023-07-16,2023-28,68,37,24,5,0
1080b4f1-38e0-4087-a85b-989cd409e825,2020-09-21,2020-09-27,2020-39,15332,15328,4,0,0
f441dd2d-dc6d-4ee2-b3cc-0ea0ed6cf493,2020-04-06,2020-04-12,2020-15,1409,1409,0,0,0
1b07bdc9-59ca-4186-87d7-87058ad111c3,2023-03-06,2023-03-12,2023-10,6292,3811,2210,271,0
4b6cb8e5-429b-4682-8abd-7cba72758ca1,2023-02-27,2023-03-05,2023-09,6028,3554,2200,274,0
8877ba6b-f4a7-4523-a4a1-4ccdeac5a8b5,2021-06-28,2021-07-04,2021-26,1072,1032,40,0,0
cac21fc4-2634-4113-9621-09d6132f5957,2021-08-30,2021-09-05,2021-35,1803,1765,38,0,0
72a8d01e-7169-4417-adb4-0cbdd30b9eeb,2020-05-11,2020-05-17,2020-20,364,364,0,0,0
0cc356e3-42d5-4a5f-905b-cb687a5034ad,2022-05-30,2022-06-05,2022-22,1710,1424,275,11,0
2d9f7a73-5a86-4d41-958d-38e80eebaf2f,2021-02-08,2021-02-14,2021-06,54298,54045,253,0,0
c8db53eb-4e75-493c-81de-6acf92cb06c2,2022-08-15,2022-08-21,2022-33,18194,12903,5040,251,0
